Category;Question;Answer;Date;Reporter;Merchant;Additional Info 
General;"apakah 1 signer bisa sign 2x dalam sebuah document? dan saya mendapatkan error ??{""error"":{""code"":422,""errors"":[{""param"":""recipients"",""messages"":[""duplicate on id_user 'utpd6548' with signer_type 'Signer'""]}]}}??";"hi pak ini bisa dilakukan, tetapi array pada parameter bukan di signernya pak, tetapi di positionnya seperti contoh: ""recipients"": [
  {
    ""detail"": ""true"",
    ""user_type"": ""0"",
    ""autosign"": ""0"",
    ""id_user"": ""aii6564"",
    ""signer_type"": ""Signer"",
    ""enterpriseToken"": """",
    ""sign_positions"": [
      {      ""posX"": ""100"",
      ""posY"": ""200"",
      ""signPage"": ""1""
    },
    {
      ""posX"": ""200"",
      ""posY"": ""300"",
      ""signPage"": ""2""
    }
  }
]";02-Feb-26;lucky;batumbu;
Liveness SDK;what kinds of checking does the liveness rasp sdk checks?;"System Checking
Device Check:
Properties
Path
Kernel info
Cpu info
Vcam apps
Emulator files
Root apps
Root binaries
Read only files
Root files
Suspicious processes
Frida port
Classes injection

Blacklist Check:
DeviceID (dan ada based on NIK optional)

Liveness Check:
Liveness
Face detect
Face compare

all of this information will not shown on enduser side, just knowledge for the client.";03-Feb-26;lucky;myboost;
Liveness SDK;Liveness FRR and FAR impact if threshold is lowered than 80;"BUAT INTERNAL ONLY
FAR & FRR Assessment using 2000 data sample with details:
Genuine = 1000
Not Genuine = 1000
 
Threshold liveness = 80
FAR = 5,20%
FRR = 10.00%";09-Feb-26;Lucky;Pinjamin;this is for internal information only for SDK liveness
General;Any link for helping to determine the signature position?;"yes, can use this link and upload the sample pdf document. The default size information for image signature also shown in this link

https://privy-open-source.github.io/design-system/tools/pdf-coordinate-finder.html";19/02/2026;Sungguh;PTLAM-KES;
General;can i put symbol on name during registration?;"?On the registration API, for character that allowed on name field are 
	- symbols: < comma (,), period (.), and apostrophe (') >
	- alphanumeric and space";20-Feb-26;Lucky;Rupiah Cepat;
Liveness API;Berapa image size maximal untuk liveness picture?;For now the information is 2 MB;22-Feb-26;Kenny;Telkomsel;
Network;VPN for merchant;"step-step request VPN connection
1. inform case merchant mana yang mau pake VPN di grup itsec
1.1 nama merchant
1.2 service apa aja
2. nanti itsec bakal kasih form VPN buat diterusin ke merchant
3. email form tersebut ke merchant untuk diisi sama di setup sesuai dengan parameter anjuran ITsec (cc maling group itsec juga)
4. nanti merchant balikin form yang udah diisi, terus ITsec langsung setup VPNnya
ini VPN 2 arah merchant sama ITsec harus setup masing2 sesuai credential yang dikasih dari masing2nya juga. Kalo kedua sisi udah setup tapi connection masih belum established biasanya bakal meeting barengan antara ITSec sama merchant";26-Feb-26;Lucky;SPUN;informed by Sungguh
RASP Liveness;Suspicious network di log RASP artinya apa?;"Percobaan bypass sistem terdeteksi
 
Penyebabnya: reason ini akan muncul jika log rasp livenessnya tidak sampai ke service kita. 
Penanganan: perlu di unblock dulu dari ronin, kemudian sarankan usernya coba lagi atau kalau masih terkendala bisa diarahkan switch ke device lain. Karena ini blocknya nempel ke device yang dipakai";26-Feb-26;Ika;Prudential;informed by PM
General;is it possible to lower threshold of name similarity to authoritative partner or dukcapil during user verification?;on glacier: not configurable for now, on avengers yes configurable;30-Mar-26;Lucky;;
Technical Details;Kenapa SLA proses di staging maupun production berbeda?semisal di prod setelah upload doc sudah langsung complete namun di staging masih in progress tidak langsung complete (user autosign);"Kami menginformasikan bahwa terdapat perbedaan performa SLA antara environment staging (STG) dan production (PROD) pada proses signing.

Hal ini disebabkan oleh perbedaan spesifikasi infrastruktur di kedua environment tersebut. Environment production dirancang dengan kapasitas dan resource yang lebih tinggi (lebih powerful) untuk menangani volume transaksi yang besar serta kebutuhan operasional secara real-time. Sementara itu, environment staging difokuskan untuk kebutuhan testing dan validasi, sehingga spesifikasinya tidak sepenuhnya disetarakan dengan production.

Dengan demikian, perbedaan SLA yang terjadi merupakan hal yang wajar dan tidak mencerminkan performa aktual pada saat sistem berjalan di production";20-Apr-26;Bulan;Asuransi Raksa;Informed by Wili
General;If user onboard on Privy using phone number a, and next year user b onboard to privu with phone number a, will there be rejection on privyapp?;no, privy will have takeover mechanism for phone number, but for e-mail privy not allow user to register using same e-mail for differ user.;28-Apr-26;Lucky;Prudential;Informed by Dhillah
RASP Liveness;Is there a significant difference in the file size or quality of liveness SDK results between iOS and Android? For example, does iOS produce higher-resolution or larger images, or is there a standard compression applied?;"While minor variations in file size may occur between platforms, they are not significant. Our system applies consistent compression and maintains similar resolution thresholds across both iOS and Android to ensure uniformity.

The compression standards for liveness images are as follows:
Maximum Image Size: Approximately 500KB
Minimum Image Size: Approximately 100KB
balikan dari liveness kita untuk skrang yang iOS

IOS provide this information:
face1Base64 (hasil compress)
face2Base64 (hasil compress)
face1Image (original capture)
face2Image (original capture)";29-Apr-26;Lucky;Prudential;informed by Evan, Rycco
RASP Liveness;"""sore team, izin bertanya pada detail liveness dashboard ronin.. kenapa ada yang liveness-nya memiliki media video, namun ada yang tidak memiliki video ya?""";"Jaringan device tidak stabil -> pengiriman media terputus ditengah jalan
Activity user -> saat proses liveness berlangsung user minimize app dan pindah ke application lain, proses pengiriman video yang di background jadi tidak berhasil terkirim";30-Apr-26;Lucky;Batumbu;Aad
